Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Series Name,New_Book_Author,New_Book_Title,Series_Name,Book_Co_Author,Illustrators,Challenge_Type,Challenge_Init,Initial_Response,Challenge_Notes,Decision,Restrictions,Restriction_Details,Library_Type,Month,Year,Overseeing_Agency,City,County,Sch_Name,Lib_name,Police,Book_Status,Data_Entry_Date,Links1,Links2,Links3,Links4,Last_Updated,ID,Genre1,Genre2,Genre3,Genre
"Maas, Sarah J.",House of Earth and Blood,Banned Pending Investigation,,,,Florida,Escambia County Public Schools,October 2022,Formal Challenge,Crescent City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Maas, Sarah J.",House of Earth and Blood,Banned from Libraries and Classrooms,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,Crescent City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Maas, Sarah J.",House of Earth and Blood,Banned from Libraries and Classrooms,,,,Utah,Davis School District,November 2022,Formal Challenge,Crescent City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Maas, Sarah J.",House of Earth and Blood,Banned Pending Investigation,,,,Wisconsin,School District of Somerset,February 2023,Formal Challenge,Crescent City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Maas, Sarah J.",House of Earth and Blood,Banned from Libraries and Classrooms,,,,Utah,Nebo School District,AY 2022-2023,Formal Challenge,Crescent City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Maas, Sarah J.",House of Earth and Blood (Crescent City Series),Banned Pending Investigation,,,,Florida,Brevard Public Schools,May 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Roux, Madeleine",House of Furies (House of Furies Series),Banned Pending Investigation,,,,Oklahoma,Bristow Public Schools,October 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Maas, Sarah J.",House of Sky and Breath,Banned from Libraries and Classrooms,,,,Utah,Nebo School District,AY 2022-2023,Formal Challenge,Crescent City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"American literature,Amitié,Angels,Anges,Assassins,Ethics,FICTION / Fantasy / Action & Adventure,FICTION / Fantasy / Romance,FICTION / Fantasy / Urban,Fairies,Fellowship,Fiction,Friendship,Fées,Geographical myths,Insurgency,Magic,Morale,Romans, nouvelles,Récits de guerre,War stories,[series:SJM_Crescent:City]"
"Maas, Sarah J.",House of Sky and Breath,Banned from Libraries and Classrooms,,,,Utah,Granite School District,October 2022,Formal Challenge,Crescent City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"American literature,Amitié,Angels,Anges,Assassins,Ethics,FICTION / Fantasy / Action & Adventure,FICTION / Fantasy / Romance,FICTION / Fantasy / Urban,Fairies,Fellowship,Fiction,Friendship,Fées,Geographical myths,Insurgency,Magic,Morale,Romans, nouvelles,Récits de guerre,War stories,[series:SJM_Crescent:City]"
"Maas, Sarah J.",House of Sky and Breath (Crescent City Series),Banned Pending Investigation,,,,Florida,Brevard Public Schools,May 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Morris, Ann",Houses and Homes,Banned from Libraries and Classrooms,,"Heyman, Ken",,Florida,Duval County Public Schools,March 2023,Administration,Around the World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dwellings,Housing,Juvenile literature"
"Mbue, Imbolo",How Beautiful We Were,Banned in Libraries and Classrooms,,,,South Dakota,Rapid City Area Schools,April 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Africa, fiction,American literature,Corporations,Corrupt practices,Environment,Environmental degradation,FICTION / Literary,Fiction,Fiction, nature & the environment,Fiction, political,New York Times reviewed,New york times reviewed,Oil spills,Villages"
"Cart, Michael",How Beautiful the Ordinary: Twelve Stories of Identity,Banned from Libraries and Classrooms,,,,Texas,Keller Independent School District,Fall 2022,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Cart, Michael",How Beautiful the Ordinary: Twelve Stories of Identity,Banned from Libraries and Classrooms,,,,Virginia,Spotsylvania County Public Schools,February 2023,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Cart, Michael",How Beautiful the Ordinary: Twelve Stories of Identity,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Acito, Marc","How I Paid for College: A Novel of Sex, Theft, Friendship & Musical Theater (Edward Zanni Series)",Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Ahmadi, Arvin",How It All Blew Up,Banned from Libraries,,,,Missouri,Willard Public Schools,September 2022,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Young adult fiction, religious, muslim,Young adult fiction, romance, lgbtq+,Young adult fiction, travel & transportation, general"
"Ahmadi, Arvin",How It All Blew Up,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Young adult fiction, religious, muslim,Young adult fiction, romance, lgbtq+,Young adult fiction, travel & transportation, general"
"Ahmadi, Arvin",How It All Blew Up,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Young adult fiction, religious, muslim,Young adult fiction, romance, lgbtq+,Young adult fiction, travel & transportation, general"
"Hort, Lenny",How Many Stars in the Sky?,Banned in Classrooms,,"Ransome, James E.",,Pennsylvania,Central York School District,August 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Stars, fiction"
"Goslee, S. J.",How Not to Ask a Boy to Prom,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Parks, Peggy J.",How Prevalent Is Racism in Society?,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Affirmative action programs,Discrimination in housing,Juvenile literature,Race relations,Racism"
"Solomon, Akiba",How We Fight White Supremacy,Banned in Classrooms,"Rankin, Kenrya",,,Pennsylvania,Central York School District,August 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African Americans,African americans, civil rights,African americans, politics and government,African americans, social conditions,Civil Rights,Civil rights,Conditions sociales,Droits,Human Rights,Noirs américains,POLITICAL SCIENCE,Political Freedom & Security,Politics and government,Politique et gouvernement,Race relations,Relations raciales,Social conditions,United states, race relations,White supremacy movements"
"Burgess, Rebecca",How to Be Ace: A Memoir of Growing Up Asexual,Banned Pending Investigation,,,,Vermont,Canaan Schools,March 2022,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Burgess, Rebecca",How to Be Ace: A Memoir of Growing Up Asexual,Banned Pending Investigation,,,,Missouri,Wentzville School District,September 2022,Legislative Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Myracle, Lauren",How to Be Bad,Banned in Libraries,"Mlynowski, Sarah; Lockhart, E.",,,Wisconsin,School District of Waukesha,December 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Automobile travel, fiction,Children's fiction,Friendship, fiction,Interpersonal relations, fiction"
"Kendi, Ibram X.",How to Be an Antiracist,Banned Pending Investigation,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African American historians,African American men,African Americans,Anti-racism,Antiracisme,Aspect psychologique,BIOGRAPHY & AUTOBIOGRAPHY,Biographies,Biography,Civil rights,Discrimination,Historiens noirs américains,Hommes noirs américains,Identité ethnique,New York Times bestseller,New York Times reviewed,Noirs américains,Personal Memoirs,Psychology,Race,Race awareness,Race identity,Racisme,Relations raciales,United states, history,United states, race relations,antiracism,collectionID:EanesChallenge,collectionID:TexChallenge2021,nyt:combined-print-and-e-book-nonfiction=2019-09-01,nyt:paperback-nonfiction=2023-02-26,psychological aspects,race relations,racism"
"Kendi, Ibram X.",How to Be an Antiracist,Banned Pending Investigation,,,,Texas,Klein Independent School District,November 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African American historians,African American men,African Americans,Anti-racism,Antiracisme,Aspect psychologique,BIOGRAPHY & AUTOBIOGRAPHY,Biographies,Biography,Civil rights,Discrimination,Historiens noirs américains,Hommes noirs américains,Identité ethnique,New York Times bestseller,New York Times reviewed,Noirs américains,Personal Memoirs,Psychology,Race,Race awareness,Race identity,Racisme,Relations raciales,United states, history,United states, race relations,antiracism,collectionID:EanesChallenge,collectionID:TexChallenge2021,nyt:combined-print-and-e-book-nonfiction=2019-09-01,nyt:paperback-nonfiction=2023-02-26,psychological aspects,race relations,racism"
"Kendi, Ibram X.",How to Be an Antiracist,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African American historians,African American men,African Americans,Anti-racism,Antiracisme,Aspect psychologique,BIOGRAPHY & AUTOBIOGRAPHY,Biographies,Biography,Civil rights,Discrimination,Historiens noirs américains,Hommes noirs américains,Identité ethnique,New York Times bestseller,New York Times reviewed,Noirs américains,Personal Memoirs,Psychology,Race,Race awareness,Race identity,Racisme,Relations raciales,United states, history,United states, race relations,antiracism,collectionID:EanesChallenge,collectionID:TexChallenge2021,nyt:combined-print-and-e-book-nonfiction=2019-09-01,nyt:paperback-nonfiction=2023-02-26,psychological aspects,race relations,racism"
"Kendi, Ibram X.",How to Be an Antiracist,Banned from Libraries,,,,South Carolina,Horry County Schools,November 2022,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African American historians,African American men,African Americans,Anti-racism,Antiracisme,Aspect psychologique,BIOGRAPHY & AUTOBIOGRAPHY,Biographies,Biography,Civil rights,Discrimination,Historiens noirs américains,Hommes noirs américains,Identité ethnique,New York Times bestseller,New York Times reviewed,Noirs américains,Personal Memoirs,Psychology,Race,Race awareness,Race identity,Racisme,Relations raciales,United states, history,United states, race relations,antiracism,collectionID:EanesChallenge,collectionID:TexChallenge2021,nyt:combined-print-and-e-book-nonfiction=2019-09-01,nyt:paperback-nonfiction=2023-02-26,psychological aspects,race relations,racism"
"Kendi, Ibram X.",How to Be an Antiracist,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African American historians,African American men,African Americans,Anti-racism,Antiracisme,Aspect psychologique,BIOGRAPHY & AUTOBIOGRAPHY,Biographies,Biography,Civil rights,Discrimination,Historiens noirs américains,Hommes noirs américains,Identité ethnique,New York Times bestseller,New York Times reviewed,Noirs américains,Personal Memoirs,Psychology,Race,Race awareness,Race identity,Racisme,Relations raciales,United states, history,United states, race relations,antiracism,collectionID:EanesChallenge,collectionID:TexChallenge2021,nyt:combined-print-and-e-book-nonfiction=2019-09-01,nyt:paperback-nonfiction=2023-02-26,psychological aspects,race relations,racism"
"Kendi, Ibram X.",How to Be an Antiracist,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African American historians,African American men,African Americans,Anti-racism,Antiracisme,Aspect psychologique,BIOGRAPHY & AUTOBIOGRAPHY,Biographies,Biography,Civil rights,Discrimination,Historiens noirs américains,Hommes noirs américains,Identité ethnique,New York Times bestseller,New York Times reviewed,Noirs américains,Personal Memoirs,Psychology,Race,Race awareness,Race identity,Racisme,Relations raciales,United states, history,United states, race relations,antiracism,collectionID:EanesChallenge,collectionID:TexChallenge2021,nyt:combined-print-and-e-book-nonfiction=2019-09-01,nyt:paperback-nonfiction=2023-02-26,psychological aspects,race relations,racism"
"Kendi, Ibram X.",How to Be an Antiracist,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African American historians,African American men,African Americans,Anti-racism,Antiracisme,Aspect psychologique,BIOGRAPHY & AUTOBIOGRAPHY,Biographies,Biography,Civil rights,Discrimination,Historiens noirs américains,Hommes noirs américains,Identité ethnique,New York Times bestseller,New York Times reviewed,Noirs américains,Personal Memoirs,Psychology,Race,Race awareness,Race identity,Racisme,Relations raciales,United states, history,United states, race relations,antiracism,collectionID:EanesChallenge,collectionID:TexChallenge2021,nyt:combined-print-and-e-book-nonfiction=2019-09-01,nyt:paperback-nonfiction=2023-02-26,psychological aspects,race relations,racism"
"Cotugno, Katie",How to Love,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Drug abuse,Drug abuse, fiction,Familien,Fiction,Forelskelse,Graviditet,Interpersonal relations,Juvenile fiction,Kærlighed,Love,Love stories,Love, fiction,Mother and child,Romance fiction,Single-parent families, fiction,Teenage mothers,Teenage pregnancy,Unge,Unge mødre,Young adult fiction"
"Cotugno, Katie",How to Love,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Drug abuse,Drug abuse, fiction,Familien,Fiction,Forelskelse,Graviditet,Interpersonal relations,Juvenile fiction,Kærlighed,Love,Love stories,Love, fiction,Mother and child,Romance fiction,Single-parent families, fiction,Teenage mothers,Teenage pregnancy,Unge,Unge mødre,Young adult fiction"
"Blake, Ashley Herring",How to Make a Wish,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children of alcoholics,Children of alcoholics -- Fiction,Children's fiction,Fiction,Friendship,Friendship -- Fiction,Friendship, fiction,Lesbian teenagers,Lesbian teenagers -- Fiction,Mothers and daughters,Mothers and daughters -- Fiction,Mothers and daughters, fiction,Musicians, fiction,Pianists,Pianists -- Fiction,Pianists, fiction,Self-actualization (Psychology),Self-actualization (Psychology) -- Fiction"
"Zuffi, Stefano",How to Read Italian Renaissance Painting,Banned Pending Investigation,,,,Missouri,Wentzville School District,September 2022,Legislative Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Art criticism,History,Italian Painting,Renaissance Painting"
"Fahmy, Huda",Huda F Are You?,Banned Pending Investigation,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bandes dessinées,Children's fiction,Comic books, strips,Fiction,Graphic novels,High schools,Identity,Identity (Philosophical concept),Identité,Muslims,Musulmans,Schools,YOUNG ADULT FICTION / Comics & Graphic Novels / Coming of Age,YOUNG ADULT FICTION / Comics & Graphic Novels / Humorous,YOUNG ADULT FICTION / Religious / Muslim / Comics & Graphic Novels,Écoles secondaires"
"Leone, Bruno",Human Sexuality: Opposing Viewpoints,Banned Pending Investigation,"Stalcup, Brenda; Swisher, Karin L.",,,Pennsylvania,Penncrest School District,February 2023,Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Gay, Roxane",Hunger: A Memoir of (My) Body,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Cast, P. C.",Hunted (House of Night Series),Banned in Libraries and Classrooms,"Cast, Kristin",,,Florida,Indian River County School District,November 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Lourie, Richard","Hunting the Devil: The Pursuit, Capture and Confession of the Most Savage Serial Killer in History",Banned Pending Investigation,,,,Pennsylvania,Penncrest School District,February 2023,Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Callender, Kacen",Hurricane Child,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Fantasy fiction,Fathers and daughters, fiction,Friendship, fiction,Hurricanes, fiction,LGBTQ middle grade,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Missing persons, fiction,Mothers and daughters, fiction,Stonewall Book Awards,United states virgin islands, fiction"
