Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Genre,Genre1,Genre2,Genre3,Genre4,Genre5,remaining_genres,Coordinates
"Lee, C. B.",A Clash of Steel: A Treasure Island Remix,Banned from Libraries,,,,Texas,Frisco Independent School District,March 2023,Administration,Unknown,Unknown,,,,,,"[31.9686, -99.9018]"
"Hutchinson, Shaun David",A Complicated Love Story Set in Space,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,Children's fiction,Children's fiction,,,,,,"[35.5175, -86.5804]"
"Maas, Sarah J.",A Court of Frost and Starlight,Banned from Libraries and Classrooms,,,,Florida,School District of Hamilton County,March 2023,Administration,"Children's fiction,Courts and courtiers,Courts and courtiers, fiction,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love, fiction,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28",Children's fiction,Courts and courtiers, fiction,Fairies,Fantasy,"Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28","[27.9944, -81.7603]"
"Maas, Sarah J.",A Court of Frost and Starlight,Banned from Libraries and Classrooms,,,,Florida,Volusia County Schools,August 2022,Formal Challenge,"Children's fiction,Courts and courtiers,Courts and courtiers, fiction,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love, fiction,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28",Children's fiction,Courts and courtiers, fiction,Fairies,Fantasy,"Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28","[27.9944, -81.7603]"
"Maas, Sarah J.",A Court of Frost and Starlight,Banned from Libraries and Classrooms,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,"Children's fiction,Courts and courtiers,Courts and courtiers, fiction,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love, fiction,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28",Children's fiction,Courts and courtiers, fiction,Fairies,Fantasy,"Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28","[27.9944, -81.7603]"
"Maas, Sarah J.",A Court of Frost and Starlight,Banned from Libraries and Classrooms,,,,Pennsylvania,Penncrest School District,February 2023,Administration,"Children's fiction,Courts and courtiers,Courts and courtiers, fiction,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love, fiction,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28",Children's fiction,Courts and courtiers, fiction,Fairies,Fantasy,"Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28","[41.2033, -77.1945]"
"Maas, Sarah J.",A Court of Frost and Starlight,Banned Pending Investigation,,,,Florida,Escambia County Public Schools,September 2022,Formal Challenge,"Children's fiction,Courts and courtiers,Courts and courtiers, fiction,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love, fiction,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28",Children's fiction,Courts and courtiers, fiction,Fairies,Fantasy,"Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28","[27.9944, -81.7603]"
"Maas, Sarah J.",A Court of Frost and Starlight,Banned Pending Investigation,,,,North Dakota,Williston Basin School District #7,September 2022,Informal Challenge,"Children's fiction,Courts and courtiers,Courts and courtiers, fiction,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love, fiction,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28",Children's fiction,Courts and courtiers, fiction,Fairies,Fantasy,"Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28","[47.5515, -101.002]"
"Maas, Sarah J.",A Court of Frost and Starlight,Banned Pending Investigation,,,,South Carolina,Beaufort County School District,October 2022,Informal Challenge,"Children's fiction,Courts and courtiers,Courts and courtiers, fiction,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love, fiction,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28",Children's fiction,Courts and courtiers, fiction,Fairies,Fantasy,"Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28","[33.8361, -81.1637]"
"Maas, Sarah J.",A Court of Frost and Starlight,Banned from Libraries and Classrooms,,,,Utah,Washington County School District,July 2022,Informal Challenge,"Children's fiction,Courts and courtiers,Courts and courtiers, fiction,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love, fiction,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28",Children's fiction,Courts and courtiers, fiction,Fairies,Fantasy,"Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28","[39.32, -111.0937]"
"Maas, Sarah J.",A Court of Frost and Starlight,Banned from Libraries and Classrooms,,,,Utah,Nebo School District,AY 2022-2023,Formal Challenge,"Children's fiction,Courts and courtiers,Courts and courtiers, fiction,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love, fiction,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28",Children's fiction,Courts and courtiers, fiction,Fairies,Fantasy,"Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28","[39.32, -111.0937]"
"Maas, Sarah J.",A Court of Frost and Starlight,Banned from Libraries and Classrooms,,,,Texas,Conroe Independent School District,September 2022,Formal Challenge,"Children's fiction,Courts and courtiers,Courts and courtiers, fiction,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love, fiction,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28",Children's fiction,Courts and courtiers, fiction,Fairies,Fantasy,"Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28","[31.9686, -99.9018]"
"Maas, Sarah J.",A Court of Frost and Starlight,Banned from Libraries and Classrooms,,,,Utah,Jordan School District,AY 2022-2023,Formal Challenge,"Children's fiction,Courts and courtiers,Courts and courtiers, fiction,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love, fiction,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28",Children's fiction,Courts and courtiers, fiction,Fairies,Fantasy,"Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28","[39.32, -111.0937]"
"Maas, Sarah J.",A Court of Frost and Starlight,Banned Pending Investigation,,,,Wisconsin,School District of Somerset,February 2023,Formal Challenge,"Children's fiction,Courts and courtiers,Courts and courtiers, fiction,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love, fiction,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28",Children's fiction,Courts and courtiers, fiction,Fairies,Fantasy,"Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28","[44.5, -89.5]"
"Maas, Sarah J.",A Court of Frost and Starlight,Banned from Libraries,,,,Missouri,Nixa Public Schools,April 2023,Unclear,"Children's fiction,Courts and courtiers,Courts and courtiers, fiction,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love, fiction,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28",Children's fiction,Courts and courtiers, fiction,Fairies,Fantasy,"Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28","[38.3566, -92.458]"
"Maas, Sarah J.",A Court of Frost and Starlight,Banned from Libraries,,,,North Carolina,Cumberland County Schools,April 2023,Administration,"Children's fiction,Courts and courtiers,Courts and courtiers, fiction,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love, fiction,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28",Children's fiction,Courts and courtiers, fiction,Fairies,Fantasy,"Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28","[35.7596, -79.0193]"
"Maas, Sarah J.",A Court of Frost and Starlight,Banned from Libraries and Classrooms,,,,Utah,Granite School District,October 2022,Formal Challenge,"Children's fiction,Courts and courtiers,Courts and courtiers, fiction,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love, fiction,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28",Children's fiction,Courts and courtiers, fiction,Fairies,Fantasy,"Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28","[39.32, -111.0937]"
"Maas, Sarah J.",A Court of Frost and Starlight,Banned from Libraries and Classrooms,,,,Utah,Alpine School District,November 2022,Legislative Action,"Children's fiction,Courts and courtiers,Courts and courtiers, fiction,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love, fiction,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28",Children's fiction,Courts and courtiers, fiction,Fairies,Fantasy,"Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28","[39.32, -111.0937]"
